question_id,quantitative_model,quantitative_temperature,qualitative_model,qualitative_temperature,description
CAR01_Q001,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for career guidance question 1
CAR01_Q002,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for career guidance question 2
CAR01_Q003,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for career guidance question 3
CAR01_Q004,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for career guidance question 4
CAR02_Q001,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for career development question 1
CAR02_Q002,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for career development question 2
CAR02_Q003,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for career development question 3
CAR02_Q004,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for career development question 4
CAR02_Q005,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for career development question 5
CAR02_Q006,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for career development question 6
CAR02_Q007,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for career development question 7
CAR02_Q008,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for career development question 8
CAR03_Q001,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for career transition question 1
CAR03_Q002,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for career transition question 2
CAR03_Q003,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for career transition question 3
CAR03_Q004,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for career transition question 4
CAR03_Q005,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for career transition question 5
CAR03_Q006,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for career transition question 6
CAR03_Q007,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for career transition question 7
CAR03_Q008,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for career transition question 8
CAR04_Q001,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for career planning question 1
CAR04_Q002,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for career planning question 2
CAR04_Q003,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for career planning question 3
CAR04_Q004,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for career planning question 4
DAY01_Q001,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for daily fortune question 1
DAY01_Q002,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for daily fortune question 2
DAY01_Q003,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for daily fortune question 3
DAY01_Q004,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for daily fortune question 4
DEV01_Q001,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for personal development question 1
DEV01_Q002,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for personal development question 2
EDU01_Q001,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for education question 1
EDU01_Q002,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for education question 2
EDU01_Q003,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for education question 3
EDU01_Q004,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for education question 4
EDU02_Q001,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for education planning question 1
EDU02_Q002,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for education planning question 2
EDU02_Q003,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for education planning question 3
FAM01_Q001,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for family question 1
FAM01_Q002,gpt-4.1-nano,0.1,gpt-4.1-mini,0.3,GPT-4.1-NANO configuration for family question 2
