file,method,file
CAR01_Q001.jsonc,六爻,001
CAR01_Q002.jsonc,六爻,001
CAR01_Q003.jsonc,false,003
CAR01_Q004.jsonc,false,003
CAR02_Q001.jsonc,false,003
CAR02_Q002.jsonc,false,003
CAR02_Q003.jsonc,false,003
CAR02_Q004.jsonc,false,003
CAR02_Q005.jsonc,false,003
CAR02_Q006.jsonc,true,006
CAR02_Q007.jsonc,true,006
CAR02_Q008.jsonc,false,003
CAR03_Q001.jsonc,true,006
CAR03_Q002.jsonc,false,003
CAR03_Q003.jsonc,false,003
CAR03_Q004.jsonc,false,003
CAR03_Q005.jsonc,false,003
CAR03_Q006.jsonc,false,003
CAR03_Q007.jsonc,false,003
CAR03_Q008.jsonc,false,003
CAR04_Q001.jsonc,false,003
CAR04_Q002.jsonc,false,003
CAR04_Q003.jsonc,六爻,001
CAR04_Q004.jsonc,六爻,001
DAY01_Q001.jsonc,unknown,xxx
DAY01_Q002.jsonc,unknown,xxx
DAY01_Q003.jsonc,六爻,001
DAY01_Q004.jsonc,六爻,001
DEV01_Q001.jsonc,false,003
DEV01_Q002.jsonc,false,003
EDU01_Q001.jsonc,false,003
EDU01_Q002.jsonc,false,003
EDU01_Q003.jsonc,false,003
EDU01_Q004.jsonc,false,003
EDU02_Q001.jsonc,false,003
EDU02_Q002.jsonc,false,003
EDU02_Q003.jsonc,六爻,001
FAM01_Q001.jsonc,六爻,001
FAM01_Q002.jsonc,false,003
FAM01_Q003.jsonc,false,003
FAM01_Q004.jsonc,false,003
FIN01_Q001.jsonc,false,003
FIN01_Q002.jsonc,false,003
FIN01_Q003.jsonc,false,003
HLT01_Q001.jsonc,false,003
HLT01_Q002.jsonc,false,003
HLT01_Q003.jsonc,false,003
HLT01_Q004.jsonc,false,003
REL01_Q001.jsonc,false,003
REL01_Q002.jsonc,false,003
REL01_Q003.jsonc,false,003
REL01_Q004.jsonc,true,006
REL01_Q005.jsonc,true,006
REL01_Q006.jsonc,true,006
REL01_Q007.jsonc,true,006
REL01_Q008.jsonc,true,006
REL01_Q009.jsonc,true,006
REL01_Q010.jsonc,true,006
REL01_Q011.jsonc,false,003
REL01_Q012.jsonc,false,003
REL01_Q013.jsonc,true,006
REL01_Q014.jsonc,true,006
REL01_Q015.jsonc,true,006
REL01_Q016.jsonc,true,006
REL01_Q017.jsonc,true,006
REL01_Q018.jsonc,true,006
REL01_Q019.jsonc,true,006
REL01_Q020.jsonc,true,006
REL01_Q021.jsonc,true,006
REL01_Q022.jsonc,true,006
REL01_Q023.jsonc,true,006
REL01_Q024.jsonc,六爻,001
REL01_Q025.jsonc,六爻,001
REL01_Q026.jsonc,六爻,001
REL01_Q027.jsonc,true,006
REL01_Q028.jsonc,六爻,001
REL01_Q029.jsonc,true,006
REL01_Q030.jsonc,true,006
REL01_Q031.jsonc,false,003
template.jsonc,false,003
